RatID,raw_video,Group
SD76N3Q1,Raw_video2018-03-08T11_35_40,virgin
SD85S1N1,Raw_video2018-03-08T12_04_36,virgin
SD74O2Q2,Raw_video2018-03-08T12_34_53,virgin
SD99O1,Raw_video2018-03-09T11_34_44,virgin
SD74O2Q3,Raw_video2018-03-09T12_05_04,EPP
SD112,Raw_video2018-03-09T12_34_37,EPP
SDWK23,Raw_video2018-03-10T12_44_46,virgin
SD110,Raw_video2018-03-10T13_14_43,EPP
SD111,Raw_video2018-03-27T12_35_01,EPP
SD118,Raw_video2018-04-02T12_29_40,EPP
SD115,Raw_video2018-04-02T12_49_47,EPP
SD76N3Q4,Raw_video2018-04-03T11_44_52,EPP
SD113,,NA
SD114,,NA
SD116,,EPP
SD117,,NA
SD119,,NA
