RatID,raw_video,Group
SD76N3Q1,Raw_video2018-03-08T11_35_40,virgin
SD85S1N1,Raw_video2018-03-08T12_04_36,virgin
SD74O2Q2,Raw_video2018-03-08T12_34_53,virgin
SD99O1,Raw_video2018-03-09T11_34_44,virgin
SD74O2Q3,Raw_video2018-03-09T12_05_04,EPP
SD112,Raw_video2018-03-09T12_34_37,EPP
SDWK23,Raw_video2018-03-10T12_44_46,virgin
SD110,Raw_video2018-03-10T13_14_43,EPP
SD111,Raw_video2018-03-27T12_35_01,EPP
SD118,Raw_video2018-04-02T12_29_40,EPP
SD115,Raw_video2018-04-02T12_49_47,EPP
SD76N3Q4,Raw_video2018-04-03T11_44_52,EPP
SD113,Raw_video2018-04-26T12_15_06,virgin
SD116,Raw_video2018-04-26T14_04_19,EPP
SD117,Raw_video2018-05-10T11_34_52,virgin
SD119,Raw_video2018-05-10T12_05_09,EPP
SD76N3Q2T1,Raw_video2018-06-16T11_35_19,virgin
SD72N1M4S2,Raw_video2018-06-16T12_04_54,EPP
SD72N1M1T1,Raw_video2018-06-16T13_45_20,virgin
SD112S2,Raw_video2018-06-16T14_14_49,virgin
SD111S1,Raw_video2018-06-16T14_35_00,EPP
